DATASET = INSTANCE_1

DAYS = 20
TRUCK_CAPACITY = 1000
TRUCK_MAX_DISTANCE = 1000
VAN_CAPACITY = 50
VAN_MAX_DISTANCE = 1000

TRUCK_DISTANCE_COST = 20
TRUCK_DAY_COST = 2000
TRUCK_COST = 0
VAN_DISTANCE_COST = 10
VAN_DAY_COST = 400
VAN_COST = 5

DELIVER_EARLY_PENALTY = 5

PRODUCTS = 3
1 4
2 7
3 10

HUBS = 20
1 5000 2,4,6,8,15,16,17,19,24,26,29,37,42,47,50,53,55,58,59,60,66,69,73,76,78,80,92,95,98,99
2 5000 1,5,12,13,14,16,17,22,24,25,27,28,29,35,42,45,46,53,55,57,60,64,68,69,73,75,80,88,90,96
3 5000 3,6,7,13,15,16,17,23,29,33,40,48,49,54,55,56,57,62,63,64,67,72,78,83,84,87,90,91,95,100
4 5000 1,3,4,6,8,10,13,15,22,27,32,33,34,43,45,53,54,58,61,68,72,75,76,80,81,82,85,88,96,97
5 5000 2,12,13,16,17,24,27,35,37,38,46,50,53,59,63,66,70,73,77,78,82,83,84,87,88,89,90,92,94,98
6 5000 7,8,16,19,20,21,24,25,26,28,29,34,37,40,46,47,48,50,51,58,59,61,69,70,72,76,86,88,96,97
7 5000 2,4,5,11,15,16,18,19,22,34,41,46,47,48,51,56,60,63,65,66,70,71,76,83,85,86,92,96,99,100
8 5000 2,4,5,9,17,18,20,21,24,27,29,41,42,44,45,49,55,62,64,70,73,75,77,79,82,84,85,92,99,100
9 5000 3,6,10,12,14,16,18,26,31,34,37,39,44,45,49,52,54,56,57,64,67,73,75,83,86,87,91,92,97,99
10 5000 2,4,16,24,26,32,35,36,37,48,50,58,64,66,69,71,73,75,76,79,80,83,85,86,89,92,93,96,99,100
11 5000 11,15,18,22,28,32,34,38,39,40,41,45,47,48,51,54,55,59,68,70,74,75,77,78,82,85,89,91,94,100
12 5000 4,7,14,15,24,28,29,32,33,34,37,38,39,41,46,47,50,51,53,54,59,62,69,70,72,75,83,89,91,93
13 5000 1,5,6,7,19,23,25,29,32,40,41,45,47,49,53,54,55,56,58,65,71,75,77,81,84,86,89,90,93,97
14 5000 3,4,9,11,12,16,20,26,28,29,31,33,34,36,38,39,55,59,67,70,72,74,75,79,82,89,92,95,97,98
15 5000 4,7,8,10,16,21,23,28,38,42,46,52,53,55,56,58,59,60,62,63,64,65,75,80,84,86,87,92,95,99
16 5000 1,5,6,11,15,18,23,25,29,31,32,37,38,45,49,51,52,56,60,70,75,78,80,81,86,87,90,92,95,97
17 5000 2,7,8,12,14,18,20,22,27,29,31,37,39,44,46,47,49,56,57,64,73,74,75,78,80,84,85,91,94,98
18 5000 7,8,10,14,15,16,17,18,22,25,27,29,30,32,33,38,42,43,45,56,58,60,63,69,72,81,89,92,93,94
19 5000 1,2,6,8,9,11,14,17,18,22,25,28,31,33,34,37,39,45,48,54,60,61,63,70,72,75,78,88,89,94
20 5000 1,2,3,4,6,7,9,19,23,27,28,34,37,39,41,46,57,62,63,65,69,71,72,73,74,78,83,86,88,98

LOCATIONS = 30
1 24 25
2 68 92
3 82 45
4 13 44
5 93 14
6 10 68
7 23 47
8 24 65
9 39 57
10 46 61
11 35 89
12 68 28
13 51 74
14 63 6
15 28 41
16 92 23
17 23 81
18 38 72
19 32 49
20 16 47
21 19 93
22 25 29
23 49 49
24 3 40
25 87 95
26 7 75
27 72 87
28 65 97
29 5 41
30 63 16

REQUESTS = 100
1 1 28 1,3,0
2 1 24 3,0,7
3 1 25 0,8,1
4 1 22 0,0,5
5 2 24 0,0,6
6 2 23 0,5,3
7 2 27 3,6,0
8 2 23 5,0,8
9 3 26 4,0,0
10 3 27 4,0,2
11 3 25 0,4,7
12 3 25 6,7,0
13 3 26 0,0,7
14 4 25 7,5,0
15 4 24 0,0,8
16 4 24 6,0,8
17 4 30 0,5,6
18 4 22 4,0,6
19 4 29 0,8,0
20 4 22 5,3,0
21 4 30 8,9,0
22 5 22 5,0,0
23 5 23 0,0,7
24 5 25 4,0,7
25 5 30 0,6,0
26 5 23 3,0,7
27 5 22 1,1,0
28 6 24 6,0,5
29 6 22 1,0,5
30 6 29 0,0,1
31 7 29 5,3,0
32 7 23 0,4,0
33 7 23 9,0,0
34 7 29 0,2,3
35 7 22 1,0,0
36 7 24 1,0,4
37 7 29 0,6,0
38 7 23 7,0,1
39 7 24 0,5,0
40 7 27 5,0,6
41 8 24 0,0,6
42 8 22 0,4,6
43 8 24 0,0,6
44 8 27 0,0,7
45 8 26 0,4,7
46 9 30 5,0,9
47 10 22 0,4,4
48 10 22 3,0,7
49 10 28 0,3,6
50 10 27 7,5,0
51 10 25 0,2,0
52 10 27 0,0,6
53 11 29 3,0,0
54 11 23 8,4,0
55 11 28 4,1,0
56 11 27 0,4,1
57 12 26 5,0,3
58 12 22 6,0,2
59 12 25 0,7,0
60 12 22 0,2,3
61 12 29 0,1,4
62 12 30 4,0,0
63 12 28 3,0,6
64 12 22 9,5,0
65 12 22 6,0,4
66 13 25 0,4,6
67 13 30 0,0,7
68 13 30 0,2,0
69 13 28 7,8,0
70 14 25 3,0,0
71 14 28 5,0,2
72 14 29 0,3,2
73 14 29 0,0,1
74 15 27 4,5,0
75 15 27 7,0,1
76 15 27 5,0,9
77 15 22 0,4,0
78 15 22 7,0,6
79 15 26 6,2,0
80 15 24 3,0,6
81 16 23 0,8,0
82 16 26 1,0,9
83 16 26 0,1,0
84 17 27 0,8,2
85 18 22 0,4,7
86 18 23 3,0,3
87 18 25 8,6,0
88 18 23 1,0,0
89 19 30 0,8,0
90 19 22 5,0,0
91 19 25 3,0,8
92 19 23 0,2,2
93 19 25 0,4,0
94 20 25 7,7,0
95 20 27 0,6,8
96 20 25 0,5,5
97 20 29 0,3,5
98 20 23 0,0,1
99 20 29 8,0,0
100 20 22 5,0,1
