DATASET = INSTANCE_16

DAYS = 20
TRUCK_CAPACITY = 120
TRUCK_MAX_DISTANCE = 1000
VAN_CAPACITY = 30
VAN_MAX_DISTANCE = 1000

TRUCK_DISTANCE_COST = 20
TRUCK_DAY_COST = 200
TRUCK_COST = 100000
VAN_DISTANCE_COST = 10
VAN_DAY_COST = 100
VAN_COST = 100000

DELIVER_EARLY_PENALTY = 5

PRODUCTS = 3
1 4
2 7
3 10

HUBS = 5
1 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
3 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
4 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
5 0 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50

LOCATIONS = 23
1 47 15
2 86 41
3 76 8
4 97 78
5 3 26
6 21 52
7 76 42
8 51 34
9 13 22
10 23 57
11 81 24
12 32 54
13 81 54
14 4 46
15 32 28
16 78 32
17 92 42
18 25 38
19 41 58
20 33 7
21 67 6
22 78 5
23 43 95

REQUESTS = 50
1 1 19 0,1,0
2 1 7 1,0,2
3 1 21 6,0,4
4 2 8 5,8,0
5 2 10 0,1,5
6 3 15 9,0,5
7 3 9 0,4,5
8 3 9 0,7,1
9 4 19 0,3,0
10 4 19 7,8,0
11 5 8 0,2,4
12 5 11 7,0,7
13 6 20 0,6,7
14 6 16 0,3,5
15 6 7 7,1,0
16 6 9 2,0,4
17 6 11 3,0,3
18 6 11 0,8,7
19 7 11 7,0,6
20 7 15 7,0,2
21 8 8 0,0,7
22 8 21 0,6,4
23 8 21 0,0,4
24 8 10 0,1,6
25 9 12 0,0,6
26 10 8 1,9,0
27 10 18 7,3,0
28 10 13 8,7,0
29 10 15 0,7,2
30 10 12 5,7,0
31 11 20 4,3,0
32 11 9 5,0,6
33 11 22 0,0,1
34 13 7 0,7,2
35 13 19 8,0,0
36 14 17 2,0,9
37 14 18 8,0,6
38 15 12 0,0,9
39 16 19 4,0,0
40 16 17 0,4,5
41 16 19 5,0,0
42 17 11 0,3,5
43 17 11 7,0,5
44 17 21 7,0,8
45 18 7 0,9,4
46 18 21 4,0,3
47 19 16 9,6,0
48 19 12 2,0,7
49 20 9 1,0,2
50 20 13 4,2,0
